feature,coef,abs_coef
mom_360 dd_60^2,0.10226453733747262,0.10226453733747262
mom_300 dd_120^2,0.10182251507998534,0.10182251507998534
mom_30 mom_360 dd_90,0.10177585962865152,0.10177585962865152
mom_60 mom_180 dd_60,0.10111467223854081,0.10111467223854081
mom_300 dd_60 dd_120,0.10067341263068835,0.10067341263068835
mom_90 mom_300 dd_90,0.09915434579893934,0.09915434579893934
dd_60^3,-0.09871129695207911,0.09871129695207911
mom_90 dd_15^2,0.09798183364709243,0.09798183364709243
mom_180 mom_300 dd_90,-0.09770929759277205,0.09770929759277205
mom_120 dd_90 dd_120,0.09752054087389352,0.09752054087389352
mom_120^2 mom_270,-0.09727801972603645,0.09727801972603645
mom_270 dd_90 dd_120,0.09718913719905824,0.09718913719905824
mom_30 mom_90,0.09716997596888366,0.09716997596888366
mom_300 mom_360,-0.09632747469172773,0.09632747469172773
mom_30 mom_180 dd_120,0.09623484424673982,0.09623484424673982
mom_120 mom_180 mom_270,-0.09573152548467226,0.09573152548467226
mom_300^2 dd_90,-0.09488046698284573,0.09488046698284573
mom_120 dd_90^2,-0.0944002195145944,0.0944002195145944
mom_270,0.09402760869501238,0.09402760869501238
mom_120^2,0.09363351612891743,0.09363351612891743
dd_15^2,-0.09160804565122549,0.09160804565122549
mom_60 mom_90 mom_360,0.09149196900928305,0.09149196900928305
mom_90 dd_60^2,-0.09135211184947457,0.09135211184947457
mom_300 dd_60 dd_90,0.09060967223303942,0.09060967223303942
mom_60 dd_60 dd_90,-0.08920686125163116,0.08920686125163116
mom_60 mom_90 mom_120,-0.08882829863483226,0.08882829863483226
mom_60 mom_120 mom_300,-0.08809381932471169,0.08809381932471169
dd_15 dd_90 dd_120,0.08662563922283512,0.08662563922283512
mom_30 mom_90 mom_180,-0.08623169022211025,0.08623169022211025
mom_60 mom_90 mom_180,-0.08610221472000397,0.08610221472000397
mom_60 mom_180 dd_90,-0.08507734348212419,0.08507734348212419
mom_270 dd_15,-0.08303461288430097,0.08303461288430097
mom_300 dd_90^2,-0.0824920766502112,0.0824920766502112
mom_360^2,0.08244211600956391,0.08244211600956391
mom_90 mom_300 dd_15,0.0822488526277411,0.0822488526277411
mom_60 mom_90,-0.07919299372417268,0.07919299372417268
mom_120 mom_180 dd_15,-0.07908831363462752,0.07908831363462752
mom_270 mom_300^2,-0.07906356594057551,0.07906356594057551
mom_180^2 mom_270,0.07686690915146227,0.07686690915146227
mom_90 mom_120 mom_300,-0.0763801179268436,0.0763801179268436
mom_90 mom_120 dd_60,-0.07470012061761556,0.07470012061761556
mom_300 dd_90,-0.07459614910928654,0.07459614910928654
mom_30 mom_90 mom_270,0.07406146135105479,0.07406146135105479
mom_360 dd_15 dd_120,-0.072932632501652,0.072932632501652
mom_60 mom_90^2,0.0728298130942715,0.0728298130942715
mom_90 mom_270,-0.0726129884932064,0.0726129884932064
dd_90 dd_120^2,0.0725160766007298,0.0725160766007298
mom_60 dd_90^2,0.07152762092083577,0.07152762092083577
mom_120 mom_300,-0.07057406255538291,0.07057406255538291
mom_120^2 mom_180,0.06986094894266485,0.06986094894266485
dd_60^2,-0.06957333802756797,0.06957333802756797
mom_60 mom_90 mom_300,0.06746299939238812,0.06746299939238812
mom_120 mom_180 mom_300,0.06742160110934611,0.06742160110934611
mom_30^2 mom_300,-0.0666951440072445,0.0666951440072445
mom_60 mom_300^2,-0.06659335433278908,0.06659335433278908
mom_30 mom_90 mom_300,0.0651254465575672,0.0651254465575672
mom_30 mom_300 dd_90,-0.06504591373970471,0.06504591373970471
mom_30 mom_60 mom_270,0.06486419089071924,0.06486419089071924
mom_180 mom_270 mom_360,0.06468087538769425,0.06468087538769425
dd_15 dd_120,-0.06350658105261774,0.06350658105261774
mom_60 mom_360 dd_15,0.06344402788357498,0.06344402788357498
mom_270 dd_60,-0.06326623479119609,0.06326623479119609
dd_90 dd_120,0.06285202831446605,0.06285202831446605
mom_180^2 dd_15,-0.06226868969137742,0.06226868969137742
mom_90 mom_120 mom_360,0.0615628214849857,0.0615628214849857
mom_30 mom_60^2,-0.05873533579401548,0.05873533579401548
mom_60 mom_360 dd_90,-0.05834970837840758,0.05834970837840758
mom_30 mom_180 dd_90,0.05714755334504744,0.05714755334504744
mom_90 mom_120 mom_270,-0.056974947834742176,0.056974947834742176
mom_30 mom_300,-0.05692580515774291,0.05692580515774291
mom_120 mom_270 dd_15,0.056336025878506425,0.056336025878506425
mom_180 mom_360 dd_120,0.054768100188129366,0.054768100188129366
mom_30 dd_60 dd_90,-0.05413468139280868,0.05413468139280868
mom_270 dd_120,-0.05392103434395761,0.05392103434395761
mom_30^2 dd_60,-0.05327207058773433,0.05327207058773433
mom_90^2 mom_180,0.051500828528128324,0.051500828528128324
dd_15 dd_60 dd_120,-0.05030329406758712,0.05030329406758712
